CAS,Chemical name,Latin name,Trophic Level,Effect,Effect value,Unit,Test type,Test statistic,Duration,Duration (days),Effect is 5X above water solubility,Source,version,SMILES
56382,"Parathion;O,O-Diethyl O-(4-nitrophenyl) phosphorothioate",Ptychocheilus lucius,FISH,Mortality,1.15,mg/L,A,LC50,96 hours,4,0,"Beleau,M.H., and J.A. Bartosz, . Colorado River Fisheries Project Acute Toxicity of Selected Chemicals:  Data Base",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/56382/property/IsomericSMILES/JSON
56553,Benz(a)anthracene;Tetraphene,Daphnia pulex,INVERT,Mortality,0.01,mg/L,A,LC50,96 hours,4,0,"Trucco, R.G., F.R. Engelhardt, and B. Stacey, 1983. Toxicity, Accumulation and Clearance of Aromatic Hydrocarbons in Daphnia pulex, Environ.Pollut.Ser.A 31(3):191-202",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/56553/property/IsomericSMILES/JSON
56724,"Coumaphos;O-(3-Chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O,O-diethyl phosphorothioate",Oncorhynchus mykiss,FISH,Mortality,1.5,mg/L,A,LC50,96 hours,4,0,"Katz, M., 1961. Acute Toxicity of Some Organic Insecticides to Three Species of Salmonids and to the Threespine Stickleback, Trans.Am.Fish.Soc. 90(3):264-268",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/56724/property/IsomericSMILES/JSON
56951,"Chlorhexidine diacetate;Acetic acid--N,N''''-hexane-1,6-diylbis[N'-(4-chlorophenyl)triimidodicarbonic diamide] (2/1)",Lepomis macrochirus,FISH,Mortality,0.6,mg/L,A,LC50,96 hours,4,0,"U.S. Environmental Protection Agency, and Office of Pesticide Programs. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB))",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/56951/property/IsomericSMILES/JSON
57067,Allyl isothiocyanate;3-Isothiocyanatoprop-1-ene,Oryzias latipes,FISH,Mortality,0.077,mg/L,A,LC50,96 hours,4,0,"Holcombe GW, Benoit DA, Hammermeister DE, Leonard EN, Johnson RD, 1995. Acute and long-term effects of nine chemicals on the japanese medaka (Oryzias latipes)",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/57067/property/IsomericSMILES/JSON
57090,"Hexadecyltrimethylammonium bromide;N,N,N-Trimethylhexadecan-1-aminium bromide",Oryzias latipes,FISH,Mortality,0.28,mg/L,A,LC50,96 hours,4,0,"Ministry of the Environment, Japan",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/57090/property/IsomericSMILES/JSON
57125,Cyanide;Cyanide,Lepomis macrochirus,FISH,Mortality,0.12,mg/L,A,LC50,96 hours,4,0,"Academy of Natural Sciences (1960). The Sensitivity of Aquatic Life to Certain Chemicals Commonly Found in Industrial Wastes. Final Rep.No.RG-3965(C2R1), U.S.Public Health Service Grant, Acad.of Nat.Sci., Philadelphia, PA:89 p.",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/57125/property/IsomericSMILES/JSON
57136,Urea;Urea,Colisa fasciata,FISH,Mortality,5.0,mg/L,A,LC50,96 hours,4,0,"Pandey,K., and J.P. Shukla, . Acute Toxicity of Carbamide and its Long Term Effects on the Growth of Fingerlings of a Tropical Fresh Water Teleost, Colisa fasciatus (Bloch & Sch.)",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/57136/property/IsomericSMILES/JSON
57147,"1,1-Dimethylhydrazine;1,1-Dimethylhydrazine",Pimephales promelas,FISH,Mortality,7.75,mg/L,A,LC50,96 hours,4,0,"Barnidge,D., D. Brooke, G. Elonen, T. Goldenstein, M. Hoglund, M. Kahl, G. Mielke, and A. Puglisi, . Toxicity of Data Gap Compounds to Fathead Minnows (Pimephales promelas) and Daphnids (Daphnia magna)",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/57147/property/IsomericSMILES/JSON
57249,Strychnine;Strychnidin-10-one,Lepomis macrochirus,FISH,Mortality,0.87,mg/L,A,LC50,96 hours,4,0,"Dawson,G.W., A.L. Jennings, D. Drozdowski, and E. Rider. The Acute Toxicity of 47 Industrial Chemicals to Fresh and Saltwater Fishes",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/57249/property/IsomericSMILES/JSON
