SMILES_curated,CAS,logC50,n_measurements
C=CCN(CC=C)C(=O)C(Cl)Cl,37764-25-3,2.1492191126553797,1
C=CCN=C=S,57-06-7,-1.1135092748275182,1
C=CCNCC=C,124-02-7,1.3010299956639813,1
C=CCNc1ccccc1,589-09-3,1.5550944485783191,1
C=CCO,107-18-6,-0.494850021680094,1
C=CCOC(=O)C(=C)C,96-05-9,-0.00436480540245,1
C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl,134605-64-4,0.5910646070264992,1
C=CCOC(=O)c1ccccc1C(=O)OCC=C,131-17-9,-0.3990271043132517,1
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,35554-44-0,0.1702617153949573,1
C=CCc1ccc(O)c(OC)c1,97-53-0,1.783903579272735,1
C=CCc1ccc(OC)c(OC)c1,93-15-2,1.146128035678238,1
C=CCc1ccccc1O,1745-81-9,1.1643528557844371,1
C=COC(C)=O,108-05-4,1.414973347970818,1
C=COCCCl,110-75-8,2.5440680443502757,1
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,804-63-7,1.5314789170422551,1
C=Cc1ccccc1,100-42-5,0.6106601630898799,1
C=Cc1ccccn1,100-69-6,0.8129133566428556,1
C=Cn1c2ccccc2c2ccccc21,1484-13-5,-2.494850021680094,1
C=O,50-00-0,1.7708520116421442,1
CBr,74-83-9,-3.096910013008056,1
CC#CCO,764-01-2,1.0043213737826426,1
CC#N,75-05-8,3.214843848047698,1
CC(=N)NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,4104-14-7,-0.3467874862246563,1
CC(=O)/C=C/c1cccc(Cl)c1,20766-36-3,0.4771212547196624,1
CC(=O)Br,506-96-7,1.608526033577194,1
CC(=O)C(=NNc1cc(S(N)(=O)=O)ccc1O)C(=O)Nc1ccccc1,12715-61-6,1.462397997898956,1
CC(=O)C(C)(C)C,75-97-8,1.9395192526186185,1
CC(=O)C(C)C,563-80-4,2.936513742478893,1
CC(=O)C(C)CN(C)C,22104-62-7,0.9294189257142929,1
CC(=O)C=Cc1ccccc1,122-57-6,0.7558748556724915,1
CC(=O)C=Cc1ccco1,623-15-4,1.3222192947339193,1
CC(=O)CC(C)(C)O,123-42-2,2.6232492903979003,1
CC(=O)CC(C)=O,123-54-6,2.0253058652647704,1
CC(=O)CC(C)C,108-10-1,2.7032913781186614,1
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,81-81-2,-1.4647058799572297,1
CC(=O)CCC(C)C,110-12-3,2.2013971243204513,1
CC(=O)CCC=C(C)C,110-93-0,1.932980821923198,1
CC(=O)CCc1ccc(OC(C)=O)cc1,3572-06-3,1.2041199826559248,1
CC(=O)Cl,75-36-5,1.6232492903979006,1
